day,hour,minute,second,microsecond,baro pressure hpa,acc x,acc y,acc z,gryo x,gryo y,gryo z,humidity,temperature,Ox pressure(psi),Voltage,altitude(meters)
14,13,13,27,81810127,875.706,9.648633,0.852336,-0.06704,-0.02398,0.024248,0.015988,16.09216,45.57221,4.223633,0.510559,1213.572
14,13,13,27,81810467,875.6592,9.648633,0.852336,-0.06704,-0.01759,0.030377,0.018119,16.08454,45.59358,4.589844,0.511475,1214.011
14,13,13,27,81810807,875.6435,9.715671,0.775721,-0.03352,-0.01386,0.023982,0.007727,16.07691,45.59358,3.735352,0.509338,1214.159
14,13,13,28,81811157,875.7336,9.715671,0.775721,-0.03352,-0.0048,0.024248,0.014922,16.06012,45.59358,3.613281,0.509033,1213.313
14,13,13,28,81811497,875.7128,9.715671,0.775721,-0.03352,-0.01546,0.025847,0.007727,16.04181,45.59358,4.101562,0.510254,1213.509
14,13,13,29,81811837,875.6699,9.65821,0.770933,-0.0431,0.029577,0.02558,0.015455,16.03418,45.59358,3.857422,0.509644,1213.911
14,13,13,29,81812180,875.735,9.65821,0.770933,-0.0431,0.026646,0.018119,0.011191,16.03265,45.57221,4.711914,0.51178,1213.3
14,13,13,29,81812520,875.6954,9.615114,0.866701,-0.11492,-0.01999,0.025047,0.006928,16.02503,45.59358,3.735352,0.509338,1213.67
14,13,13,30,81812860,875.6835,9.615114,0.866701,-0.11492,-0.02878,0.026113,0.006662,16.02503,45.57221,2.270508,0.505676,1213.784
14,13,13,30,81813200,875.6777,9.615114,0.866701,-0.11492,-0.01146,0.02638,0.009859,16.0174,45.59358,4.345703,0.510864,1213.839
14,13,13,30,81813543,875.6825,9.667787,0.746991,-0.0431,0.007994,0.022383,0.014389,16.0174,45.59358,4.223633,0.510559,1213.792
14,13,13,31,81813883,875.6802,9.667787,0.746991,-0.0431,-0.01652,0.020784,0.002931,16.00824,45.59358,4.345703,0.510864,1213.813
14,13,13,31,81814223,875.6664,9.667787,0.746991,-0.0431,-0.01172,0.022649,0.007194,16.00824,45.59358,3.857422,0.509644,1213.942
14,13,13,31,81814566,875.7184,9.662998,0.828394,-0.13886,0.010925,0.022916,0.013856,16.00061,45.59358,4.345703,0.510864,1213.456
14,13,13,32,81814906,875.7247,9.662998,0.828394,-0.13886,0.00826,0.024781,0.00906,16.00061,45.59358,4.223633,0.510559,1213.398
14,13,13,32,81815246,875.5921,9.662998,0.799663,-0.02394,0.014123,0.026113,0.013057,15.99146,45.59358,4.223633,0.510559,1214.64
14,13,13,32,81815596,875.6194,9.662998,0.799663,-0.02394,0.016254,0.010126,0.008527,15.98383,45.59358,4.467773,0.511169,1214.384
14,13,13,33,81815936,875.6279,9.662998,0.799663,-0.02394,-0.01466,0.024248,0.015721,15.97314,45.57221,3.613281,0.509033,1214.304
14,13,13,33,81816276,875.7309,9.691729,0.818817,-0.0814,-0.01013,0.021317,0.007994,15.97467,45.59358,3.979492,0.509949,1213.34
14,13,13,33,81816616,875.7178,9.691729,0.818817,-0.0814,0.000533,0.025847,0.00826,15.95789,45.59358,4.223633,0.510559,1213.461
14,13,13,34,81816959,875.7185,9.691729,0.818817,-0.0814,0.015455,0.022649,0.015188,15.94873,45.57221,4.467773,0.511169,1213.456
14,13,13,34,81817299,875.6783,9.677363,0.746991,-0.09577,0,0.021583,0.011991,15.9411,45.59358,4.101562,0.510254,1213.831
14,13,13,34,81817639,875.7141,9.677363,0.746991,-0.09577,-0.01013,0.017587,0.010658,15.93195,45.59358,4.223633,0.510559,1213.496
14,13,13,35,81818025,875.7747,9.65821,0.78051,-0.01915,-0.02052,0.025047,0.007194,15.93347,45.61494,3.735352,0.509338,1212.93
14,13,13,35,81818365,875.7236,9.65821,0.78051,-0.01915,-0.00693,0.021317,0.007994,15.92432,45.59358,4.101562,0.510254,1213.409
14,13,13,35,81818705,875.6793,9.65821,0.78051,-0.01915,-0.01919,0.019452,0.014389,15.92432,45.59358,4.223633,0.510559,1213.823
14,13,13,36,81819048,875.6497,9.734824,0.78051,0.023942,-0.00267,0.022116,0.016787,15.92279,45.57221,4.223633,0.510559,1214.101
14,13,13,36,81819388,875.6818,9.734824,0.78051,0.023942,-0.00506,0.024515,0.013856,15.91669,45.61494,3.979492,0.509949,1213.8
14,13,13,36,81819728,875.6415,9.734824,0.78051,0.023942,-0.0437,0.025847,0.000799,15.906,45.59358,3.979492,0.509949,1214.175
14,13,13,37,81820068,875.6407,9.691729,0.847547,-0.0814,-0.03491,0.023449,0.013323,15.8999,45.61494,5.566406,0.513916,1214.185
14,13,13,37,81820418,875.6954,9.691729,0.847547,-0.0814,-0.02318,0.015721,0.013057,15.88922,45.59358,3.735352,0.509338,1213.67
14,13,13,37,81820758,875.6654,9.677363,0.833182,-0.03352,-0.02718,0.02558,0.010925,15.88922,45.59358,5.200195,0.513,1213.953
